Treffer_ID;Datum;Fundort_Ordner;Von;An;Betreff;Kategorie
M-064;07.08.2021;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Zielvereinbarung Entwurf;an_ihn
M-029;13.09.2021;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Urlaubsuebergabe Gebiet Nordbaden;von_ihm
M-065;01.10.2021;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Neue Preisliste;an_ihn
M-030;24.10.2021;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Rueckfrage Provisionsabrechnung;von_ihm
M-066;25.11.2021;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;CRM-Pflege Erinnerung;an_ihn
M-031;04.12.2021;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Update Vertriebspipeline;von_ihm
M-032;14.01.2022;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Protokoll Jahresgespraech;von_ihm
M-067;19.01.2022;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Spesenabrechnung Rueckfrage;an_ihn
M-033;24.02.2022;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Angebot Lizenzpaket;von_ihm
M-068;15.03.2022;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Kundenbeschwerde Weiterleitung;an_ihn
M-034;06.04.2022;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Besuchsbericht KW 14;von_ihm
M-069;09.05.2022;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Freigabe Rabattstufe;an_ihn
M-035;17.05.2022;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Terminbestaetigung Kundentermin;von_ihm
M-036;27.06.2022;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Weiterleitung Kundenanfrage;von_ihm
M-070;03.07.2022;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Einladung Vertriebstagung;an_ihn
M-037;07.08.2022;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Urlaubsuebergabe Gebiet Nordbaden;von_ihm
M-071;27.08.2022;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Rueckmeldung zum Besuchsbericht;an_ihn
M-038;17.09.2022;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Rueckfrage Provisionsabrechnung;von_ihm
M-072;21.10.2022;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Zielvereinbarung Entwurf;an_ihn
M-039;28.10.2022;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Update Vertriebspipeline;von_ihm
M-040;08.12.2022;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Protokoll Jahresgespraech;von_ihm
M-073;15.12.2022;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Neue Preisliste;an_ihn
M-041;18.01.2023;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Angebot Lizenzpaket;von_ihm
M-074;08.02.2023;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;CRM-Pflege Erinnerung;an_ihn
M-042;28.02.2023;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Besuchsbericht KW 09;von_ihm
M-075;04.04.2023;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Spesenabrechnung Rueckfrage;an_ihn
M-043;10.04.2023;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Terminbestaetigung Kundentermin;von_ihm
M-044;21.05.2023;Postfach Denzlinger/Gesendet;m.denzlinger@turmberg-software.de;diverse Kunden bzw. intern;Weiterleitung Kundenanfrage;von_ihm
M-076;29.05.2023;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Kundenbeschwerde Weiterleitung;an_ihn
M-077;23.07.2023;Postfach Denzlinger/Posteingang;intern bzw. Kunden;m.denzlinger@turmberg-software.de;Freigabe Rabattstufe;an_ihn
M-078;11.07.2025;Postfach Steinbeis/Gesendet;o.steinbeis@turmberg-software.de;gf@turmberg-software.de;Vertriebsergebnis H1 2025 - Einordnung Gebiet Nordbaden (Denzlinger);ueber_ihn
M-079;15.09.2025;Postfach Steinbeis/Gesendet;o.steinbeis@turmberg-software.de;personal@turmberg-software.de;Bitte um Pruefung arbeitsrechtlicher Optionen M. D.;ueber_ihn
M-080;13.10.2025;Postfach Personal/Gesendet;personal@turmberg-software.de;o.steinbeis@turmberg-software.de;Entwurf Abmahnung Besuchsberichte;ueber_ihn
M-081;21.11.2025;Postfach Steinbeis/Gesendet;o.steinbeis@turmberg-software.de;gf@turmberg-software.de;Vermerk Minderleistungsgespraech vom 20.11.2025;ueber_ihn
M-082;24.11.2025;Postfach Steinbeis/Gesendet;o.steinbeis@turmberg-software.de;h.brix@turmberg-software.de, c.kuemmel@turmberg-software.de, s.tarrach@turmberg-software.de;Umgang mit Bestandskunden von Herrn Denzlinger - bitte Zurueckhaltung bei Zusagen;ueber_ihn
M-083;09.01.2026;Postfach GF/Gesendet;gf@turmberg-software.de;o.steinbeis@turmberg-software.de;Personalplanung Vertrieb 2026 - Streichung Gebiet Nordbaden;ueber_ihn
M-084;18.02.2026;Postfach Personal/Gesendet;personal@turmberg-software.de;gf@turmberg-software.de;Entscheidungsvorlage Kuendigung Denzlinger;ueber_ihn
M-085;27.02.2026;Postfach Steinbeis/Gesendet;o.steinbeis@turmberg-software.de;h.brix@turmberg-software.de;Uebergabe Kundenliste Denzlinger;ueber_ihn
M-086;12.03.2026;Postfach Personal/Gesendet;personal@turmberg-software.de;it@turmberg-software.de;Suchauftrag DSGVO-Auskunft Denzlinger - Umfang;ueber_ihn
