anleger_nr,name,wohnort,vertragsdatum,anlagebetrag_eur,rendite_pa_prozent,monatliche_rendite_eur,anzahl_renditezahlungen,rendite_ausgezahlt_gesamt_eur,kapitalrueckzahlung_eur,kapitalrueckzahlung_datum,vermittler,status
47,Otto Wilfert,Fuerth,2023-02-05,90000.00,8.0,600.00,35,21000.00,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
48,Sieglinde Rammensee,Nuernberg,2023-07-03,40000.00,8.0,266.67,30,8000.10,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
49,Bernhard Kufner,Oberasbach,2023-08-05,150000.00,8.0,1000.00,29,29000.00,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
50,Rita Dannhauser,Nuernberg,2024-06-24,150000.00,8.0,1000.00,19,19000.00,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
51,Helmut Gugel,Erlangen,2025-02-15,90000.00,8.0,600.00,11,6600.00,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
52,Monika Streitberger,Fuerth,2023-09-26,65000.00,8.0,433.33,28,12133.24,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
53,Alfons Wiesinger,Nuernberg,2025-02-14,30000.00,8.0,200.00,11,2200.00,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
54,Doris Kalbskopf,Schwabach,2025-01-07,200000.00,8.0,1333.33,12,15999.96,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
55,Peter Rothgang,Nuernberg,2024-05-15,45000.00,8.0,300.00,20,6000.00,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
56,Karin Ellwanger,Erlangen,2024-09-08,60000.00,8.0,400.00,16,6400.00,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
57,Walter Dexheimer,Fuerth,2024-11-27,40000.00,8.0,266.67,14,3733.38,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
58,Heidemarie Prokosch,Nuernberg,2023-09-08,75000.00,8.0,500.00,28,14000.00,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
59,Franz Ruprecht,Feucht,2025-11-19,30000.00,8.0,200.00,2,400.00,0.00,,Plaschke,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
60,Sabine Toepfer,Nuernberg,2025-06-08,-25000.00,8.0,-166.67,7,-1166.69,0.00,,Wiedenbrueck,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
61,Adolf Grillenberger,Hersbruck,2023-04-03,55000.00,8.0,366.67,33,12100.11,0.00,,Meckel,Vertrag laufend - Renditezahlungen seit Februar 2026 eingestellt
